id,atomization_energy
1,1569.140848
2,1228.659484
3,1916.790874
4,1337.413069
5,1570.864615
6,1368.567636
7,1830.957683
8,2036.147478
9,1579.485334
10,1997.24192
11,1719.987736
12,1697.655318
13,1034.402778
14,1223.138033
15,1766.28033
16,2290.254738
17,1927.198738
18,1869.033674
19,2038.73156
20,1432.273605
21,2026.207736
22,1924.829892
23,1608.303057
24,1346.234591
25,2107.114981
26,1526.126361
27,1444.575919
28,1828.608289
29,1672.659125
30,1820.143193
31,1882.525117
32,1348.301605
33,2039.106183
34,1464.986904
35,2287.97688
36,1011.35249
37,1587.629773
38,2118.285269
39,1698.648665
40,982.002012
41,1292.31839
42,2070.215569
43,1736.108443
44,1516.168421
45,1925.92364
46,2215.811463
47,2244.390105
48,1576.254917
49,1523.915647
50,2334.274494
51,1868.215402
52,2016.07472
53,1322.416859
54,1566.814044
55,1768.760873
56,1581.857318
57,1801.178616
58,1761.206292
59,1574.782154
60,1538.64642
61,1835.79264
62,2008.159322
63,2069.210927
64,2095.436411
65,1994.46582
66,1295.664895
67,1719.456864
68,1718.83061
69,1750.920165
70,1709.707884
71,1773.804163
72,1321.818843
73,2043.289158
74,1752.478897
75,1910.674544
76,2034.432496
77,1365.02472
78,1885.523355
79,1323.692585
80,1688.068236
81,2040.62601
82,1818.862447
83,2000.466062
84,1659.348404
85,1849.595955
86,1807.987088
87,2162.245412
88,1406.745911
89,1849.472336
90,1866.634707
91,1465.276186
92,1738.92533
93,1664.422442
94,1810.679102
95,1548.985886
96,1674.117456
97,1694.593075
98,2039.317026
99,1640.867009
100,1890.015692
101,2104.306878
102,1894.54568
103,1508.614467
104,1540.314339
105,1829.53512
106,1694.153818
107,1935.382711
108,1574.773996
109,2032.316536
110,1707.259344
111,2287.344979
112,1768.037355
113,1724.467523
114,1551.968436
115,1248.970068
116,2058.877737
117,2245.651398
118,2110.646602
119,1573.234089
120,2040.258917
121,1753.059343
122,1639.096179
123,1651.106073
124,2306.829761
125,1868.0648
126,1864.637973
127,2184.361967
128,1870.741126
129,1877.271612
130,1752.278722
131,1876.1057
132,1559.890738
133,1730.057373
134,1347.689157
135,1911.164628
136,2172.222805
137,1701.369544
138,1550.250944
139,1746.066383
140,1663.634291
141,1493.47644
142,1873.509068
143,1872.936152
144,1758.60966
145,2287.557704
146,1218.502624
147,1855.822099
148,1600.746594
149,2014.446335
150,1415.093036
151,1609.952151
152,1604.005248
153,1732.78641
154,1600.393934
155,1647.934643
156,2036.529004
157,1487.474316
158,1875.562278
159,1977.03613
160,1612.950389
161,1915.700263
162,1773.012247
163,1761.217588
164,2025.710121
165,1738.445286
166,1758.334811
167,1777.151924
168,1681.05896
169,2354.238065
170,1837.100996
171,1400.023407
172,1850.268645
173,1751.883391
174,1482.434164
175,1630.615394
